order_id,platform,sku,sale_price,cost_price,shipping_fee,order_date,quantity
1688_0024,1688,SKU1002,9.87,8.37,2.93,2026-05-11,1
1688_0025,1688,SKU1002,25.73,9.10,2.10,2026-05-10,1
1688_0026,1688,SKU1004,12.16,5.33,1.97,2026-05-11,1
1688_0027,1688,SKU1001,13.13,11.95,4.78,2026-05-10,2
1688_0028,1688,SKU1002,16.99,9.99,3.11,2026-05-10,2
1688_0029,1688,SKU1001,4.97,13.68,2.18,2026-05-11,1
1688_0030,1688,SKU1002,15.19,9.71,2.31,2026-05-11,1
1688_0031,1688,SKU1001,16.49,14.31,3.21,2026-05-09,3
1688_0032,1688,SKU1001,24.03,13.10,3.26,2026-05-09,2
1688_0033,1688,SKU1001,19.90,11.19,3.19,2026-05-11,2
1688_0034,1688,SKU1004,10.32,5.02,2.24,2026-05-10,3
1688_0035,1688,SKU1001,26.41,14.67,4.64,2026-05-10,1
1688_0036,1688,SKU1002,21.49,8.61,3.97,2026-05-11,3
