order_id,platform,sku,sale_price,cost_price,shipping_fee,order_date,quantity
AMZN_0001,amazon,SKU1001,21.41,13.51,3.26,2026-05-11,1
AMZN_0002,amazon,SKU1002,2.45,8.85,2.56,2026-05-10,2
AMZN_0003,amazon,SKU1001,17.15,11.79,3.03,2026-05-11,2
AMZN_0004,amazon,SKU1001,25.77,11.89,3.66,2026-05-09,2
AMZN_0005,amazon,SKU1001,15.54,10.23,2.68,2026-05-09,1
AMZN_0006,amazon,SKU1002,16.94,8.91,3.67,2026-05-11,3
AMZN_0007,amazon,SKU1001,23.96,13.24,3.83,2026-05-11,1
AMZN_0008,amazon,SKU1001,23.02,14.63,4.06,2026-05-11,1
AMZN_0009,amazon,SKU1001,3.03,11.58,2.80,2026-05-11,3
AMZN_0010,amazon,SKU1002,20.59,9.31,2.79,2026-05-11,2
AMZN_0011,amazon,SKU1001,24.35,12.69,4.24,2026-05-11,2
AMZN_0012,amazon,SKU1001,17.42,12.55,2.27,2026-05-09,3
