order_id,platform,sku,sale_price,cost_price,shipping_fee,order_date,quantity
TK_0013,tiktok,SKU1001,22.75,12.27,4.86,2026-05-09,3
TK_0014,tiktok,SKU1002,20.27,8.21,3.25,2026-05-11,1
TK_0015,tiktok,SKU1001,19.05,12.70,4.34,2026-05-09,2
TK_0016,tiktok,SKU1001,13.52,11.81,4.96,2026-05-11,1
TK_0017,tiktok,SKU1001,19.67,14.73,2.26,2026-05-10,3
TK_0018,tiktok,SKU1002,3.19,8.95,3.10,2026-05-11,3
TK_0019,tiktok,SKU1001,3.40,12.70,4.19,2026-05-09,2
TK_0020,tiktok,SKU1001,20.93,11.87,4.70,2026-05-11,1
TK_0021,tiktok,SKU1001,19.41,11.15,2.66,2026-05-10,1
TK_0022,tiktok,SKU1001,4.23,11.65,3.54,2026-05-10,2
TK_0023,tiktok,SKU1001,8.69,14.68,3.71,2026-05-10,2
